# Developer:  🆁🅾🅱🅴🆁🆃🅾  🅲🅰🅻🅰🅱🆁🅴🆂🅴
# City:       🅿🅰🅻🅴🆁🅼🅾, 🆂🅸🅲🅸🅻🆈
# Country:    🅸🆃🅰🅻🆈

# Colorname           Hex 8     Hex 12       Hex 16          Family
gray76                #c2c2c2   #c2bc2bc2b   #c2c2c2c2c2c2   gray
gray77                #c4c4c4   #c4cc4cc4c   #c4c4c4c4c4c4   gray
gray78                #c7c7c7   #c7cc7cc7c   #c7c7c7c7c7c7   gray
gray79                #c9c9c9   #c9cc9cc9c   #c9c9c9c9c9c9   gray
gray80                #cccccc   #ccccccccc   #cccccccccccc   gray
gray81                #cfcfcf   #cfccfccfc   #cfcfcfcfcfcf   gray
gray82                #d1d1d1   #d1cd1cd1c   #d1d1d1d1d1d1   gray
gray83                #d4d4d4   #d4cd4cd4c   #d4d4d4d4d4d4   gray
gray84                #d6d6d6   #d6dd6dd6d   #d6d6d6d6d6d6   gray
gray85                #d9d9d9   #d9dd9dd9d   #d9d9d9d9d9d9   gray
gray86                #dbdbdb   #dbddbddbd   #dbdbdbdbdbdb   gray
gray87                #dedede   #deddedded   #dededededede   gray
gray88                #e0e0e0   #e0de0de0d   #e0e0e0e0e0e0   gray
gray89                #e3e3e3   #e3de3de3d   #e3e3e3e3e3e3   gray
gray90                #e5e5e5   #e5de5de5d   #e5e5e5e5e5e5   gray
gray91                #e8e8e8   #e8ee8ee8e   #e8e8e8e8e8e8   gray
gray92                #ebebeb   #ebeebeebe   #ebebebebebeb   gray
gray93                #ededed   #edeedeede   #edededededed   gray
gray94                #f0f0f0   #f0ef0ef0e   #f0f0f0f0f0f0   gray
gray95                #f2f2f2   #f2ef2ef2e   #f2f2f2f2f2f2   gray
gray96                #f5f5f5   #f5ef5ef5e   #f5f5f5f5f5f5   gray
gray97                #f7f7f7   #f7ff7ff7f   #f7f7f7f7f7f7   gray
gray98                #fafafa   #faffaffaf   #fafafafafafa   gray
gray99                #fcfcfc   #fcffcffcf   #fcfcfcfcfcfc   gray
Green                 #00ff00   #000fff000   #0000ffff0000   green
"Green Yellow"        #adff2f   #adafff2f3   #adadffff2f2f   yellowgreen
Honeydew              #f0fff0   #f0effff0e   #f0f0fffff0f0   green
"Hot Pink"            #ff69b4   #fff696b4b   #ffff6969b4b4   purplered
"Indian Red"          #cd5c5c   #cdc5c55c5   #cdcd5c5c5c5c   red
Indigo                #4b0082   #4b4000828   #4b4b00008282   bluepurple
Ivory                 #fffff0   #fffffff0e   #fffffffff0f0   yellow
Khaki                 #f0e68c   #f0ee6e8c8   #f0f0e6e68c8c   yellow
Lavender              #e6e6fa   #e6ee6efaf   #e6e6e6e6fafa   blue
"Lavender Blush"      #fff0f5   #ffff0ef5e   #fffff0f0f5f5   purplered
"Lawn Green"          #7cfc00   #7c7fcf000   #7c7cfcfc0000   yellowgreen
"Lemon Chiffon"       #fffacd   #ffffafcdc   #fffffafacdcd   yellow
"Light Blue"          #add8e6   #adad8de6e   #adadd8d8e6e6   cyan
"Light Coral"         #f08080   #f0e808808   #f0f080808080   red
"Light Cyan"          #e0ffff   #e0dffffff   #e0e0ffffffff   cyan
"Light Goldenrod"     #fafad2   #faffafd2c   #fafafafad2d2   yellow
"Light gray"          #d3d3d3   #d3cd3cd3c   #d3d3d3d3d3d3   gray
"Light Green"         #90ee90   #908eee908   #9090eeee9090   green
"Light Pink"          #ffb6c1   #fffb6bc1b   #ffffb6b6c1c1   red
"Light Salmon"        #ffa07a   #fffa097a7   #ffffa0a07a7a   orange
"Light Sea Green"     #20b2aa   #202b2aaaa   #2020b2b2aaaa   cyan
"Light Sky Blue"      #87cefa   #878cecfaf   #8787cecefafa   cyanblue
"Light Slate gray"    #778899   #777888999   #777788889999   cyanblue
"Light Steel Blue"    #b0c4de   #b0ac4cded   #b0b0c4c4dede   cyanblue
"Light Yellow"        #ffffe0   #ffffffe0d   #ffffffffe0e0   yellow
Lime                  #00ff00   #000fff000   #0000ffff0000   green
"Lime Green"          #32cd32   #323cdc323   #3232cdcd3232   green
Linen                 #faf0e6   #faff0ee6e   #fafaf0f0e6e6   orange
Magenta               #ff00ff   #fff000fff   #ffff0000ffff   purple
Maroon                #b03060   #b0a303606   #b0b030306060   purplered
"Medium Aquamarine"   #66cdaa   #666cdcaaa   #6666cdcdaaaa   greencyan
"Medium Blue"         #0000cd   #000000cdc   #00000000cdcd   blue
"Medium Orchid"       #ba55d3   #bab555d3c   #baba5555d3d3   purple
"Medium Purple"       #9370db   #939707dbd   #93937070dbdb   bluepurple
"Medium Sea Green"    #3cb371   #3c4b3b717   #3c3cb3b37171   greencyan
"Medium Slate Blue"   #7b68ee   #7b7686eee   #7b7b6868eeee   blue
"Medium Spring Green" #00fa9a   #000faf9a9   #0000fafa9a9a   greencyan
"Medium Turquoise"    #48d1cc   #484d1cccc   #4848d1d1cccc   cyan
"Medium Violet Red"   #c71585   #c7c151858   #c7c715158585   purplered
"Midnight Blue"       #191970   #191191707   #191919197070   blue
"Mint Cream"          #f5fffa   #f5effffaf   #f5f5fffffafa   greencyan
"Misty Rose"          #ffe4e1   #fffe4de1d   #ffffe4e4e1e1   red
Moccasin              #ffe4b5   #fffe4db5b   #ffffe4e4b5b5   orange
"Navajo White"        #ffdead   #fffdedada   #ffffdedeadad   orange
"Navy Blue"           #000080   #000000808   #000000008080   blue
"Old Lace"            #fdf5e6   #fdff5ee6e   #fdfdf5f5e6e6   orange
Olive                 #808000   #808808000   #808080800000   yellow
"Olive Drab"          #6b8e23   #6b68e8232   #6b6b8e8e2323   yellowgreen
Orange                #ffa500   #fffa5a000   #ffffa5a50000   orange
"Orange Red"          #ff4500   #fff454000   #ffff45450000   orange
Orchid                #da70d6   #dad707d6d   #dada7070d6d6   purple
"Pale Goldenrod"      #eee8aa   #eeee8eaaa   #eeeee8e8aaaa   yellow
"Pale Green"          #98fb98   #989fbf989   #9898fbfb9898   green
"Pale Turquoise"      #afeeee   #afaeeeeee   #afafeeeeeeee   cyan
"Pale Violet Red"     #db7093   #dbd707939   #dbdb70709393   purplered
"Papaya Whip"         #ffefd5   #fffefed5d   #ffffefefd5d5   orange
"Peach Puff"          #ffdab9   #fffdadb9b   #ffffdadab9b9   orange
Peru                  #cd853f   #cdc8583f4   #cdcd85853f3f   orange
Pink                  #ffc0cb   #fffc0bcbc   #ffffc0c0cbcb   red
Plum                  #dda0dd   #ddda09ddd   #dddda0a0dddd   purple
"Powder Blue"         #b0e0e6   #b0ae0de6e   #b0b0e0e0e6e6   cyan
Purple                #a020f0   #a09202f0e   #a0a02020f0f0   bluepurple
"Rebecca Purple"      #663399   #666333999   #666633339999   bluepurple
Red                   #ff0000   #fff000000   #ffff00000000   red
"Rosy Brown"          #bc8f8f   #bcb8f88f8   #bcbc8f8f8f8f   red
"Royal Blue"          #4169e1   #414696e1d   #41416969e1e1   cyanblue
"Saddle Brown"        #8b4513   #8b8454131   #8b8b45451313   orange
Salmon                #fa8072   #faf808727   #fafa80807272   red
"Sandy Brown"         #f4a460   #f4ea4a606   #f4f4a4a46060   orange
"Sea Green"           #2e8b57   #2e38b8575   #2e2e8b8b5757   greencyan
Seashell              #fff5ee   #ffff5eeee   #fffff5f5eeee   orange
Sienna                #a0522d   #a095252d3   #a0a052522d2d   orange
Silver                #c0c0c0   #c0bc0bc0b   #c0c0c0c0c0c0   gray
"Sky Blue"            #87ceeb   #878cecebe   #8787ceceebeb   cyanblue
"Slate Blue"          #6a5acd   #6a65a5cdc   #6a6a5a5acdcd   blue
"Slate gray"          #708090   #707808908   #707080809090   cyanblue
Snow                  #fffafa   #ffffaffaf   #fffffafafafa   red
"Spring Green"        #00ff7f   #000fff7f7   #0000ffff7f7f   greencyan
"Steel Blue"          #4682b4   #464828b4b   #46468282b4b4   cyanblue
Tan                   #d2b48c   #d2cb4b8c8   #d2d2b4b48c8c   orange
Teal                  #008080   #000808808   #000080808080   cyan
Thistle               #d8bfd8   #d8dbfbd8d   #d8d8bfbfd8d8   purple
Tomato                #ff6347   #fff636474   #ffff63634747   red
Turquoise             #40e0d0   #404e0dd0c   #4040e0e0d0d0   cyan
Violet                #ee82ee   #eee828eee   #eeee8282eeee   purple
"Web Green"           #008000   #000808000   #000080800000   green
"Web gray"            #808080   #808808808   #808080808080   gray
"Web Maroon"          #7f0000   #7f7000000   #7f7f00000000   red
"Web Purple"          #7f007f   #7f70007f7   #7f7f00007f7f   purple
Wheat                 #f5deb3   #f5ededb3b   #f5f5dedeb3b3   orange
White                 #ffffff   #fffffffff   #ffffffffffff   gray
"White Smoke"         #f5f5f5   #f5ef5ef5e   #f5f5f5f5f5f5   gray
Yellow                #ffff00   #ffffff000   #ffffffff0000   yellow
"Yellow Green"        #9acd32   #9a9cdc323   #9a9acdcd3232   yellowgreen
